OI_C,CHNG IN OI_C,VOLUME_C,IV_C,LTP_C,CHNG_C,BID QTY_C,BID PRICE_C,ASK PRICE_C,ASK QTY_C,STRIKE PRICE,BID QTY_P,BID PRICE_P,ASK PRICE_P,ASK QTY_P,CHNG_P,LTP_P,IV_P,VOLUME_P,CHNG IN OI_P,OI_P,TYPE_C,TYPE_P,BASQ_C,BASQ_P,RETURN_C,RETURN_P,RBAS_C,RBAS_P
84129.00,11307.00,1606289.00,15.55,5.55,-2.10,50.00,5.50,5.60,300.00,17700.00,300.00,209.00,211.55,50.00,-131.30,211.05,20.34,125886.00,-2436.00,3779.00,0,1,250.00,-250.00,-0.274509804,-0.383525632,2.22,2144.805
40629.00,9980.00,852992.00,16.89,3.75,-1.60,1500.00,3.30,3.85,650.00,17750.00,100.00,256.35,263.10,350.00,-131.50,258.00,22.06,6391.00,245.00,376.00,0,1,-850.00,250.00,-0.299065421,-0.337612323,7.865,7012.575
111308.00,-2360.00,1421961.00,18.12,2.55,-1.40,50.00,2.05,2.55,2600.00,17800.00,50.00,305.00,307.55,50.00,-133.95,305.70,23.70,27646.00,-1702.00,3333.00,0,1,2550.00,0.00,-0.35443038,-0.304674173,4.6,3124.005
31944.00,15150.00,471181.00,18.80,1.50,-1.50,4550.00,1.40,1.50,50.00,17850.00,150.00,353.60,359.40,150.00,-128.75,357.05,27.56,1155.00,60.00,163.00,0,1,-4500.00,0.00,-0.5,-0.26502676,0.58,8270.8
84700.00,-3717.00,961623.00,20.09,1.10,-1.35,18900.00,1.10,1.30,300.00,17900.00,550.00,403.75,407.50,50.00,-133.25,405.00,28.89,3267.00,-4.00,1202.00,0,1,-18600.00,-500.00,-0.551020408,-0.247561542,0.96,6084.375
21717.00,-3976.00,247701.00,22.35,1.15,-0.90,500.00,1.00,1.15,100.00,17950.00,750.00,403.75,498.95,1800.00,-112.90,455.10,31.73,258.00,20.00,44.00,0,1,-400.00,1050.00,-0.43902439,-0.198767606,0.645,171874.08
202175.00,18638.00,844604.00,23.99,1.00,-0.75,22300.00,0.90,1.00,15350.00,18000.00,50.00,504.85,506.65,100.00,-130.20,505.10,34.43,15186.00,-3187.00,8720.00,0,1,-6950.00,50.00,-0.428571429,-0.204942547,0.38,3641.4
5297.00,-3923.00,77800.00,25.28,0.80,-0.65,50.00,0.65,0.90,50.00,18050.00,350.00,552.65,558.75,200.00,-159.20,536.65,0.00,26.00,3.00,34.00,0,1,0.00,-150.00,-0.448275862,-0.228784939,0.775,13559.08
32167.00,-9489.00,222407.00,26.32,0.60,-0.65,2800.00,0.65,0.70,6850.00,18100.00,150.00,602.75,626.35,3850.00,-132.25,602.80,37.21,485.00,-8.00,359.00,0,1,4050.00,3700.00,-0.52,-0.179919733,0.135,58013.52
3995.00,-1223.00,23311.00,27.62,0.50,-0.60,1100.00,0.50,0.75,50.00,18150.00,200.00,653.30,659.75,400.00,-180.70,653.75,40.81,17.00,2.00,33.00,0,1,-1050.00,200.00,-0.545454545,-0.216549823,0.625,16938.345
28163.00,-8367.00,128621.00,30.09,0.60,-0.40,49500.00,0.50,0.60,40850.00,18200.00,50.00,702.40,752.30,50.00,-133.35,702.15,41.25,324.00,-127.00,539.00,0,1,-8650.00,0.00,-0.4,-0.159605027,0.22,145179.06
2957.00,-1174.00,9642.00,31.95,0.60,-0.20,4600.00,0.40,0.55,50.00,18250.00,250.00,752.30,758.30,50.00,-201.45,733.05,0.00,9.00,-2.00,40.00,0,1,-4550.00,-200.00,-0.25,-0.215569823,0.285,18127.2
39292.00,-8637.00,76684.00,33.46,0.55,-0.25,50.00,0.40,0.55,8900.00,18300.00,200.00,801.55,853.00,450.00,-136.70,802.45,46.42,916.00,37.00,638.00,0,1,8850.00,250.00,-0.3125,-0.145557153,0.285,170253.195
1496.00,-606.00,10066.00,34.90,0.50,-0.25,4050.00,0.40,0.65,1800.00,18350.00,200.00,850.80,858.80,50.00,-216.20,835.15,0.00,4.00,1.00,22.00,0,1,-2250.00,-150.00,-0.333333333,-0.205640367,0.525,27353.6
10145.00,-2392.00,25611.00,35.34,0.35,-0.35,3800.00,0.35,0.40,3250.00,18400.00,350.00,900.55,909.40,1300.00,-150.50,887.85,0.00,42.00,-21.00,109.00,0,1,-550.00,950.00,-0.5,-0.144941494,0.075,32036.115
1517.00,446.00,13711.00,38.03,0.45,-0.25,850.00,0.45,0.50,4100.00,18450.00,50.00,951.05,961.35,150.00,-214.95,936.50,0.00,3.00,-1.00,9.00,0,1,3250.00,100.00,-0.357142857,-0.186677667,0.095,39395.44
91646.00,-4992.00,122055.00,38.76,0.35,-0.35,57000.00,0.35,0.40,18100.00,18500.00,600.00,1003.30,1010.30,2750.00,-133.40,1005.30,59.73,1526.00,-619.00,3680.00,0,1,-38900.00,2150.00,-0.5,-0.117151137,0.075,28190.4
881.00,-32.00,18672.00,40.45,0.35,-0.30,7700.00,0.35,0.45,300.00,18550.00,200.00,1013.40,1096.25,1800.00,0.00,0.00,0.00,0.00,0.00,4.00,0,1,-7400.00,1600.00,-0.461538462,0,0.16,349569.005
8791.00,-658.00,13445.00,41.50,0.30,-0.30,1800.00,0.30,0.35,50.00,18600.00,1000.00,1099.55,1113.60,200.00,-157.20,1089.05,0.00,121.00,-28.00,187.00,0,1,-1750.00,-800.00,-0.5,-0.126138415,0.065,62189.515
459.00,-121.00,7727.00,42.42,0.25,-0.35,14400.00,0.25,0.35,450.00,18650.00,150.00,1115.45,1198.10,850.00,0.00,0.00,0.00,0.00,0.00,1.00,0,1,-13950.00,700.00,-0.583333333,0,0.12,382429.815
4588.00,-228.00,13189.00,44.79,0.30,-0.25,2300.00,0.30,0.35,9000.00,18700.00,350.00,1199.40,1211.25,200.00,-140.80,1190.00,0.00,23.00,-2.00,85.00,0,1,6700.00,-150.00,-0.454545455,-0.105801022,0.065,57132.405
497.00,-356.00,14346.00,45.64,0.25,-0.30,8350.00,0.25,0.35,1200.00,18750.00,1800.00,1207.90,1297.95,1800.00,0.00,0.00,0.00,0.00,0.00,12.00,0,1,-7150.00,0.00,-0.545454545,0,0.12,451303.585
4056.00,-1079.00,7893.00,47.23,0.25,-0.30,700.00,0.25,0.35,8650.00,18800.00,1000.00,1243.15,1336.75,650.00,-172.85,1280.00,0.00,41.00,-9.00,68.00,0,1,7950.00,-350.00,-0.545454545,-0.118973053,0.12,482957.28
262.00,28.00,1926.00,48.82,0.25,-0.30,950.00,0.25,0.35,2700.00,18850.00,1800.00,1307.15,1391.80,1800.00,0.00,0.00,0.00,0.00,0.00,2.00,0,1,1750.00,0.00,-0.545454545,0,0.12,456932.235
2734.00,-1.00,8775.00,49.40,0.20,-0.30,28800.00,0.20,0.25,400.00,18900.00,1250.00,1341.80,1453.75,850.00,0.00,0.00,0.00,0.00,0.00,29.00,0,1,-28400.00,-400.00,-0.6,0,0.045,625923.645
187.00,-122.00,9662.00,50.95,0.20,-0.25,11400.00,0.20,0.35,50.00,18950.00,1000.00,1396.05,1518.60,700.00,0.00,0.00,0.00,0.00,0.00,1.00,0,1,-11350.00,-300.00,-0.555555556,0,0.165,714380.715
35902.00,-6547.00,33789.00,53.53,0.25,-0.20,400.00,0.25,0.30,3400.00,19000.00,400.00,1502.20,1509.95,300.00,-133.00,1507.75,86.21,2249.00,-949.00,4061.00,0,1,3000.00,-100.00,-0.444444444,-0.081060491,0.055,46688.325
354.00,-13.00,4577.00,56.80,0.35,-0.05,15200.00,0.20,0.35,3650.00,19050.00,1000.00,1492.20,1629.35,1250.00,0.00,0.00,0.00,0.00,0.00,1.00,0,1,-11550.00,250.00,-0.125,0,0.165,856241.165
1166.00,-740.00,13756.00,59.12,0.40,-0.05,6700.00,0.40,0.45,1500.00,19100.00,1350.00,1558.70,1669.35,850.00,-165.00,1585.00,0.00,2.00,-1.00,22.00,0,1,-5200.00,-500.00,-0.111111111,-0.094285714,0.085,714367.465
141.00,-20.00,758.00,59.96,0.35,0.00,350.00,0.25,0.45,50.00,19150.00,1250.00,1592.25,1739.05,1250.00,0.00,0.00,0.00,0.00,0.00,1.00,0,1,-300.00,0.00,0,0,0.28,978069.68
1339.00,-77.00,1802.00,60.66,0.30,-0.10,650.00,0.30,0.40,250.00,19200.00,1000.00,1634.35,1792.00,1000.00,0.00,0.00,0.00,0.00,0.00,21.00,0,1,-400.00,0.00,-0.25,0,0.14,1080328.155
